Date,Open,High,Low,Close,Volume,Market Cap
Nov-03-2019,9289.89288834,9353.715862998,9106.312350671,9205.743201034,19491017665.942013,166092359614.1487
Oct-27-2019,9235.005228243,9722.660857996,9096.936235174,9544.094411496,33550698245.02006,169004009822.77835
Oct-20-2019,7954.616126618,8254.275408258,7900.438614016,8202.005472651,13689730159.754784,144207387123.84973
Oct-13-2019,8310.145411179,8435.447811075,8246.244358698,8294.599727264,12414944133.785307,150182067879.80774
Oct-06-2019,8132.042462349,8146.147351539,7850.254887733,7876.455217631,12147006810.972599,143559149325.0326
Sep-29-2019,8209.160822339,8222.006280482,7955.684335853,8068.668738286,14168854496.290041,145053939725.72894
Sep-22-2019,10002.150611392,10070.520315857,9876.651282321,10050.187541129,13655833632.90586,179297328412.16043
Sep-15-2019,10349.132693446,10368.311044913,10283.331817049,10313.443525982,13739377464.074913,185049550071.33182
Sep-08-2019,10470.341080022,10572.520355028,10326.63608395,10410.187644035,15786963429.021881,187264486279.91238
Sep-01-2019,9607.181476079,9759.435329023,9566.21839372,9716.721909689,11427639953.94762,172254201107.54727
Aug-25-2019,10139.413036233,10298.296110663,10003.483494941,10118.399575204,13517731620.799112,180917502361.7454
Aug-18-2019,10227.398309843,10474.365680379,10117.358356191,10331.467108077,14018174108.292109,184164214026.73282
Aug-11-2019,11328.601603036,11555.775899235,11217.137141763,11555.775899235,16761977263.13256,203827765926.7899
Aug-04-2019,10813.82497436,10986.00769305,10606.246749694,10948.187619903,14938219499.702148,192735973142.64496
Jul-28-2019,9493.990306474,9588.298625648,9262.952718454,9545.094701172,13710929707.424322,169844801165.48
Jul-21-2019,10746.433378123,10808.75818775,10362.648158675,10596.355696901,18416083690.096504,188557822332.72574
Jul-14-2019,11394.840697713,11458.269526704,10288.853124064,10288.853124064,21875939390.039207,194795554759.58752
Jul-07-2019,11279.686940232,11550.671929601,11174.758166612,11441.622695658,18626823366.133514,201538268812.9855
Jun-30-2019,12106.219065156,12309.501284794,10912.255934044,10912.255934044,25096318919.276333,207161133844.26282
Jun-23-2019,10717.06273697,11204.170999299,10585.083730998,10880.051309618,25456978245.08755,191698592970.2239
Jun-16-2019,8861.692265355,9391.965327231,8839.579216261,9025.723641831,18436066643.880177,161844700234.68286
Jun-09-2019,7979.720898905,8001.182588562,7713.072533886,7750.808728267,14008185776.071651,140054303146.46033
Jun-02-2019,8598.78500222,8806.181716754,8586.830124871,8781.231372894,18710649783.654823,154255226095.6599
May-26-2019,8101.121878369,8762.008200617,7971.658538311,8736.628563948,16480490604.981249,144622180906.139
